variant,budget,spec,score,passed,total
base,300000,tiny_dance,568.98,12,12
base,300000,solo_run,719.74,12,12
base,300000,verse_chorus,747.87,12,12
base,300000,drums_swell,712.26,12,12
base,300000,drums_crosscut,746.42,12,12
base,300000,drums_tide,736.25,12,12
base,300000,drums_dropout,716.39,12,12
base,300000,drums_breath,730.56,12,12
base,300000,drums_pulse,737.5,12,12
base,300000,drums_zigzag,729.02,12,12
base,325000,drums_signature,704.61,12,12
base,325000,drums_pendulum,557.84,12,12
base,325000,drums_crescendo,633.08,12,12
base,325000,dense_sprint,684.37,12,12
base,325000,syncopated_switchback,652.3,12,12
base,325000,opening_burst,665.62,12,12
base,325000,grain_staircase,760.94,12,12
base,325000,rhythm_ladder,632.18,12,12
base,325000,cold_start,617.21,12,12
base,325000,mini_burst,673.2,12,12
base,325000,tiny_dance,569,12,12
base,325000,solo_run,724.54,12,12
base,325000,verse_chorus,749.31,12,12
base,325000,drums_swell,714.41,12,12
base,325000,drums_crosscut,747.2,12,12
base,325000,drums_tide,737.01,12,12
base,325000,drums_dropout,715.59,12,12
base,325000,drums_breath,732.04,12,12
base,325000,drums_pulse,737.8,12,12
base,325000,drums_zigzag,729.82,12,12
base,350000,drums_signature,705.71,12,12
base,350000,drums_pendulum,557.22,12,12
base,350000,drums_crescendo,636.51,12,12
base,350000,dense_sprint,684.49,12,12
base,350000,syncopated_switchback,650.97,12,12
base,350000,opening_burst,666.65,12,12
base,350000,grain_staircase,762.68,12,12
base,350000,rhythm_ladder,633.74,12,12
base,350000,cold_start,619.48,12,12
base,350000,mini_burst,673.7,12,12
base,350000,tiny_dance,569,12,12
base,350000,solo_run,725.41,12,12
base,350000,verse_chorus,748.74,12,12
base,350000,drums_swell,713.21,12,12
base,350000,drums_crosscut,745.88,12,12
base,350000,drums_tide,738.49,12,12
base,350000,drums_dropout,716.02,12,12
base,350000,drums_breath,731.5,12,12
base,350000,drums_pulse,738.65,12,12
base,350000,drums_zigzag,730.48,12,12
base,375000,drums_signature,705.51,12,12
base,375000,drums_pendulum,559.64,12,12
base,375000,drums_crescendo,635.53,12,12
base,375000,dense_sprint,684.83,12,12
base,375000,syncopated_switchback,653.99,12,12
base,375000,opening_burst,664.95,12,12
base,375000,grain_staircase,763.2,12,12
base,375000,rhythm_ladder,633.62,12,12
base,375000,cold_start,619.45,12,12
base,375000,mini_burst,674.28,12,12
base,375000,tiny_dance,569,12,12
base,375000,solo_run,727.85,12,12
base,375000,verse_chorus,749.41,12,12
base,375000,drums_swell,713.9,12,12
base,375000,drums_crosscut,746.43,12,12
base,375000,drums_tide,739.73,12,12
base,375000,drums_dropout,717.22,12,12
base,375000,drums_breath,731.26,12,12
base,375000,drums_pulse,739.95,12,12
base,375000,drums_zigzag,732.44,12,12
base,400000,drums_signature,706.77,12,12
base,400000,drums_pendulum,560.04,12,12
base,400000,drums_crescendo,636.05,12,12
base,400000,dense_sprint,685.2,12,12
base,400000,syncopated_switchback,655.83,12,12
base,400000,opening_burst,664.58,12,12
base,400000,grain_staircase,763.93,12,12
base,400000,rhythm_ladder,634.9,12,12
base,400000,cold_start,619.78,12,12
base,400000,mini_burst,674.88,12,12
base,400000,tiny_dance,569,12,12
base,400000,solo_run,728.15,12,12
base,400000,verse_chorus,749.64,12,12
base,400000,drums_swell,714.57,12,12
base,400000,drums_crosscut,748.02,12,12
base,400000,drums_tide,739.87,12,12
base,400000,drums_dropout,718.11,12,12
base,400000,drums_breath,731.39,12,12
base,400000,drums_pulse,745.66,12,12
base,400000,drums_zigzag,733.63,12,12
base,425000,drums_signature,707.82,12,12
base,425000,drums_pendulum,560.38,12,12
base,425000,drums_crescendo,635.99,12,12
base,425000,dense_sprint,685.97,12,12
base,425000,syncopated_switchback,657.02,12,12
base,425000,opening_burst,665,12,12
base,425000,grain_staircase,763.79,12,12
base,425000,rhythm_ladder,635.39,12,12
base,425000,cold_start,619.85,12,12
base,425000,mini_burst,675.71,12,12
base,425000,tiny_dance,569,12,12
base,425000,solo_run,727.59,12,12
base,425000,verse_chorus,749.84,12,12
base,425000,drums_swell,714.19,12,12
base,425000,drums_crosscut,747.43,12,12
base,425000,drums_tide,741.2,12,12
base,425000,drums_dropout,718.64,12,12
base,425000,drums_breath,732.11,12,12
base,425000,drums_pulse,746.18,12,12
base,425000,drums_zigzag,735.03,12,12
base,450000,drums_signature,708.9,12,12
base,450000,drums_pendulum,560.85,12,12
base,450000,drums_crescendo,637.6,12,12
base,450000,dense_sprint,685.88,12,12
base,450000,syncopated_switchback,657.55,12,12
base,450000,opening_burst,665.49,12,12
base,450000,grain_staircase,763.76,12,12
base,450000,rhythm_ladder,636.15,12,12
base,450000,cold_start,620,12,12
base,450000,mini_burst,675.75,12,12
base,450000,tiny_dance,569,12,12
base,450000,solo_run,730.07,12,12
base,450000,verse_chorus,749.69,12,12
base,450000,drums_swell,715.85,12,12
base,450000,drums_crosscut,747.63,12,12
base,450000,drums_tide,741.51,12,12
base,450000,drums_dropout,719.04,12,12
base,450000,drums_breath,731.53,12,12
base,450000,drums_pulse,746.36,12,12
base,450000,drums_zigzag,734.71,12,12
base,475000,drums_signature,709.36,12,12
base,475000,drums_pendulum,560.52,12,12
base,475000,drums_crescendo,636.91,12,12
base,475000,dense_sprint,688.16,12,12
base,475000,syncopated_switchback,657.75,12,12
base,475000,opening_burst,666.7,12,12
base,475000,grain_staircase,764.11,12,12
base,475000,rhythm_ladder,635.94,12,12
base,475000,cold_start,620.07,12,12
base,475000,mini_burst,676.64,12,12
base,475000,tiny_dance,569,12,12
base,475000,solo_run,730.57,12,12
base,475000,verse_chorus,751.01,12,12
base,475000,drums_swell,715.47,12,12
base,475000,drums_crosscut,747.8,12,12
base,475000,drums_tide,740.93,12,12
base,475000,drums_dropout,721.03,12,12
base,475000,drums_breath,732.43,12,12
base,475000,drums_pulse,746.48,12,12
base,475000,drums_zigzag,734.01,12,12
base,500000,drums_signature,710.4,12,12
base,500000,drums_pendulum,561.21,12,12
base,500000,drums_crescendo,637.83,12,12
base,500000,dense_sprint,687.54,12,12
base,500000,syncopated_switchback,659.82,12,12
base,500000,opening_burst,666.53,12,12
base,500000,grain_staircase,764.56,12,12
base,500000,rhythm_ladder,635.41,12,12
